beruf,isco_code,beschaeftigte_1000,frauen_pct,branche,lohn_median_chf,qualifikation,esco_uri,esco_titel,esco_beschreibung,score_gesamt,score_digital,score_wiederholbarkeit,score_physisch,score_kreativitaet,score_sozial,haupt_risiko,zeitrahmen,begruendung,delta_branche,delta_lohn,score_ch,adaptabilitaet,beschreibung_hash,lohnklasse
Restaurantfachmann/-frau EFZ,5131,22.0,62.0,Gastgewerbe,52000,Sekundär II,http://data.europa.eu/esco/occupation/6ba25e0f-7fb8-4879-a1f9-d4f8945966be,Kameramann/Kamerafrau,"Kameramänner/ Kamerafrauen sind für die visuelle Interpretation des Drehbuchs und sämtliche fotografische Aspekte des Films verantwortlich, einschließlich Bildeinstellungen, Farben, Licht, Stil und Drehorte. Sie geben dem Film bzw. der Fernsehsendung ein optisches Erscheinungsbild und wählen die Drehausrüstung aus, einschließlich der Objektive und Filter. Bildgestaltende Kameramänner/-frauen leiten die Teams an, die die optischen Geräte und die Beleuchtung bedienen. Um die gewünschte Wirkung zu erzielen, arbeiten sie mit dem Film- und Fernsehregisseur/der Film- und Fernsehregisseurin zusammen.",2.8,2.0,3.5,2.0,3.0,2.5,"Reservierungssysteme, Bestellungsaufnahme via Apps/Tablets und einfache Getränkeausgabe durch Automaten könnten teilweise automatisiert werden; KI-gestützte Kassenterminals reduzieren administrative Aufgaben",>10 Jahre,"Der Beruf Restaurantfachmann/-frau EFZ ist stark durch physische Präsenz, menschliche Interaktion und situative Anpassungsfähigkeit geprägt – Qualitäten, die KI kaum ersetzen kann. Im Schweizer Kontext, wo Gäste hohe Servicequalität und persönliche Betreuung erwarten (insbesondere in der Hotellerie und Gastronomie mit internationalem Publikum), bleibt der menschliche Faktor zentral. Partielle Automatisierung einzelner Teilaufgaben (z.B. digitale Bestellsysteme) ist bereits im Gange, ersetzt jedoch nicht das Berufsprofil als Ganzes.",0.0,-0.2,2.5999999999999996,3.4,6384eed3d883,< 60k CHF
Sozialpädagoge/-pädagogin,2635,22.0,65.0,Soziales,82000,Tertiär,http://data.europa.eu/esco/occupation/fa4a3b52-990c-44eb-a912-490f5d689400,Sozialpädagoge/Sozialpädagogin,"Sozialpädagogen bieten Kindern und jungen Menschen mit unterschiedlichem Hintergrund oder unterschiedlichen Fähigkeiten Betreuung, Unterstützung und Bildung. Sie konzipieren Bildungsprozesse, bei denen die jungen Menschen selbst Verantwortung übernehmen müssen. Dabei verfolgen sie einen multidisziplinären Ansatz, der auf die Lernerfahrung ausgerichtet ist. Sozialpädagogen tragen zum Lernen, zum Wohlergehen und zur gesellschaftlichen Eingliederung von Menschen bei und legen Wert auf die Förderung ihrer Eigenständigkeit.",2.1,3.0,2.5,1.5,2.0,1.0,"Administrative Dokumentationsaufgaben, Fallberichte und Förderplanungen könnten durch KI-gestützte Tools teilweise unterstützt oder beschleunigt werden; diagnostische Einschätzungstools könnten Entscheidungen ergänzen.",>10 Jahre,"Sozialpädagogik ist in der Schweiz stark auf vertrauensbasierte, individuelle Beziehungsarbeit mit vulnerablen Personen ausgerichtet – ein Kernbereich, der für KI kaum substituierbar ist. Die Arbeit erfordert hohe emotionale Intelligenz, kontextsensibles Handeln und physische Präsenz in Settings wie Heimen, Schulen oder der offenen Jugendarbeit. Regulatorische und ethische Anforderungen im Schweizer Sozialwesen (z.B. KESB-Prozesse, Datenschutz) machen einen umfassenden KI-Einsatz in der direkten Betreuung zusätzlich unwahrscheinlich.",0.0,0.0,2.1,5.9,1e6746d670b0,60k–100k CHF
Kindergärtnerin/-gärtner,2342,22.0,96.0,Bildung,95000,Tertiär,http://data.europa.eu/esco/occupation/55d60ead-0343-4008-b9e4-fb4b5a179c83,Lehrkraft für Vorschulerziehung,"Lehrkräfte für Vorschulerziehung unterrichten Schülerinnen und Schüler – hauptsächlich kleine Kinder – in grundlegenden Fächern und kreativem Spielen, um ihre sozialen und intellektuellen Fähigkeiten auf lockere Weise zu fördern und sie auf das spätere Lernen in einem offizielleren Umfeld vorzubereiten. Sie erstellen (gegebenenfalls anhand eines festen Lehrplans) Unterrichtspläne für eine Klasse oder kleinere Gruppen und testen die Schülerinnen und Schüler in Bezug auf die Lerninhalte. Diese Unterrichtspläne für grundlegende Fächer umfassen z. B. das Erkennen von Zahlen, Buchstaben und Farben, die Wochentage und verschiedene Tierarten und Verkehrsmittel. Lehrkräfte für Vorschulerziehung beaufsichtigen Schülerinnen und Schüler außerdem außerhalb des Unterrichts auf dem Schulgelände und setzen Verhaltensregeln durch.",2.1,2.5,4.0,1.5,3.0,1.0,"Administrative Tätigkeiten wie Unterrichtsplanung, Lernstandsdokumentation und Elternkommunikation könnten durch KI-Tools unterstützt oder teilweise automatisiert werden.",>10 Jahre,"Der Kindergartenberuf ist stark auf körperliche Präsenz, emotionale Bindung und soziale Entwicklungsförderung ausgerichtet – Bereiche, in denen KI grundsätzlich keine Substitution leisten kann. In der Schweiz unterliegt die Vorschulerziehung kantonalen Lehrplänen (z.B. Lehrplan 21) mit hohem pädagogischem Ermessensspielraum, was standardisierte Automatisierung zusätzlich erschwert. Die Betreuung kleiner Kinder erfordert ein Mass an Empathie, situativer Reaktionsfähigkeit und Vertrauensaufbau, das auch langfristig nicht durch KI-Systeme ersetzbar sein wird.",-0.2,0.0,1.9,6.4,753a7aeba8e9,60k–100k CHF
Arzt/Ärztin (Allgemeinmedizin),2211,22.0,47.0,Gesundheit,165000,Tertiär,http://data.europa.eu/esco/occupation/71f09c8b-a172-408c-b9e7-32e580e39ff6,Arzt für Allgemeinmedizin/Ärztin für Allgemeinmedizin,"Ärzte für Allgemeinmedizin/Ärztinnen für Allgemeinmedizin fördern die Gesundheit, beugen gesundheitlichen Beschwerden vor, identifizieren gesundheitliche Beschwerden, diagnostizieren und behandeln Erkrankungen und fördern die Genesung körperlicher und psychischer Krankheiten und Störungen aller Art, unabhängig vom Alter, dem Geschlecht oder den Beschwerden der Betroffenen.",4.1,6.5,4.5,3.0,4.0,2.5,"Diagnostische Unterstützung durch KI (Bildanalyse, Symptomauswertung, Laborwertinterpretation), automatisierte Dokumentation via Spracherkennung sowie evidenzbasierte Therapieempfehlungen könnten partiell automatisiert werden.",5-10 Jahre,"In der Schweiz zeigt sich ein wachsendes Interesse an KI-gestützten klinischen Entscheidungssystemen, jedoch bremsen strenge regulatorische Anforderungen (Heilmittelgesetz, Datenschutzgesetz) sowie der hohe Stellenwert der Arzt-Patienten-Beziehung im Schweizer Gesundheitswesen eine rasche Automatisierung. Kernkompetenzen wie die ganzheitliche Beurteilung, empathische Kommunikation und die körperliche Untersuchung bleiben stark menschlich geprägt. KI wird den Hausarztberuf eher als Assistenztool transformieren als ersetzen, zumal der bestehende Hausarztmangel in der Schweiz ohnehin Druck auf effizientere Arbeitsprozesse erzeugt.",-0.3,0.4,4.2,8.5,af07e915b24f,> 150k CHF
Systemadministrator/in,2522,22.0,12.0,ICT,110000,Tertiär,http://data.europa.eu/esco/occupation/9e2e6e1e-363b-4e1b-a673-7bc0f7343300,IT-Systemadministrator/IT-Systemadministratorin,"IT-Systemadministratoren sind für die Wartung, Konfiguration und den zuverlässigen Betrieb von Computer- und Netzwerksystemen, Servern, Computerarbeitsplätzen und Peripheriegeräten zuständig. Bisweilen beschaffen, installieren oder aktualisieren sie Computerkomponenten und Software, automatisieren Routineaufgaben und schreiben Computerprogramme. Sie gewährleisten eine optimale Integrität, Sicherheit, Sicherung und Leistung des Systems.",6.1,9.0,6.5,5.5,5.5,6.0,"Automatisierung von Routine-Tasks wie Patch-Management, Monitoring, Backup-Prozesse, User-Provisioning und Log-Analyse durch AIOps-Plattformen (z.B. Ansible, Terraform, KI-gestützte ITSM-Tools); zudem können LLMs zunehmend Konfigurationsskripte generieren und Fehlerdiagnosen übernehmen.",3-5 Jahre,"In der Schweiz, wo KMU eine zentrale Rolle spielen, werden viele Sysadmin-Routinetätigkeiten wie Monitoring, automatisches Failover und Patch-Management bereits heute durch Cloud-native Tools (Azure Autopilot, AWS Systems Manager) übernommen. Die verbleibenden Kernaufgaben – komplexe Fehlerdiagnose, Sicherheitsarchitektur und Stakeholder-Kommunikation mit Geschäftsleitung – bleiben vorerst menschlich, weshalb eine vollständige Automatisierung unwahrscheinlich ist. Der Beruf wandelt sich eher in Richtung Cloud- und Security-Engineering, wobei der Fachkräftemangel in der Schweizer IT-Branche den Transformationsdruck kurzfristig abfedert.",-0.2,0.2,6.1,8.3,813553e0a866,100k–150k CHF
Polymechaniker/in EFZ,7223,22.0,5.0,Industrie,78000,Sekundär II,http://data.europa.eu/esco/occupation/269c47e7-9017-4aa6-bce8-49e89a696a64,Industriemechaniker/Industriemechanikerin,"Industriemechaniker arbeiten an neuen und bereits in Betrieb befindlichen Maschinen und Geräten. Sie bereiten die Installation der spezifischen Anlage vor und fertigen bei Bedarf Zubehör, führen Wartungsarbeiten und Reparaturen durch und diagnostizieren Fehler in Systemen oder verschlissene Teile.",3.2,3.0,5.5,2.0,3.5,5.5,"Standardisierte Wartungsroutinen, Fehlerdiagnose via Sensorik/KI-Systeme und CNC-gesteuerte Fertigungsschritte könnten teilautomatisiert werden; digitale Wartungsprotokolle ersetzen manuelle Dokumentation",>10 Jahre,"Polymechaniker/innen arbeiten stark mit physischen Maschinen in variablen, oft engen Umgebungen, was Robotisierung und KI-Automatisierung erheblich erschwert. In der Schweizer Präzisionsindustrie (MEM-Sektor) sind komplexe Problemlösungskompetenzen und adaptives Denken bei individuellen Maschinendefekten zentral, was durch KI kurz- bis mittelfristig nicht substituierbar ist. Assistierende KI-Tools (z.B. AR-gestützte Wartungsanleitungen, KI-Diagnosetools) werden den Beruf eher ergänzen als ersetzen.",-0.1,0.0,3.1,4.4,4fce6b99d29e,60k–100k CHF
Produktionsleiter bei der Herstellung von Waren,3122,22.0,17.7,Industrie,88000,Sekundär II,http://data.europa.eu/esco/occupation/83191970-020d-4350-b2e0-be971533d286,Produktionsleiter Elektronik/Produktionsleiterin Elektronik,"Produktionsleiter Elektronik koordinieren, planen und leiten die Herstellung elektronischer Produkte. Sie leiten die in der Produktion tätigen Arbeitskräfte an, überwachen die Qualität der Produkte und sind für das Kosten- und Ressourcenmanagement zuständig.",4.8,6.5,5.5,3.5,4.5,3.0,"Produktionsplanung, Kapazitätssteuerung, Qualitätskontrolle via Sensordaten und KI-gestützte Ressourcenoptimierung (z.B. MES/ERP-Automatisierung) könnten Teile der Koordinationsaufgaben übernehmen",5-10 Jahre,"In der Schweizer Elektronikindustrie (z.B. Medtech, Industrieelektronik) werden KI-gestützte MES- und ERP-Systeme zunehmend für Planungs- und Qualitätsaufgaben eingesetzt, was repetitive Koordinationstätigkeiten reduziert. Dennoch bleibt die Rolle stark von physischer Präsenz, Mitarbeiterführung und situativem Urteilsvermögen abhängig, was eine vollständige Automatisierung unwahrscheinlich macht. Der Beruf wird sich eher transformieren – Produktionsleiter müssen KI-Systeme managen statt ersetzt zu werden.",-0.1,0.0,4.7,5.4,b674c1d82c2f,60k–100k CHF
Projektleiter/in (Technik),2149,22.0,18.0,Industrie,125000,Tertiär,http://data.europa.eu/esco/occupation/bea99fea-0383-4c63-b944-70d4799de2c5,Projektmanager/Projektmanagerin,"Projektmanager/Projektmanagerinnen stellen sicher, dass ein Projekt rechtzeitig und ohne Budgetüberschreitung abgeschlossen wird und die Projektziele erreicht werden. Sie beaufsichtigen das Projekt, leiten das Team, stellen sicher, dass die effizientesten Ressourcen eingesetzt werden, und sorgen dafür, dass alle Beteiligten zufrieden sind.",4.8,7.5,4.5,5.5,4.0,2.5,"Automatisierte Projektplanung, Ressourcenallokation, Fortschrittsüberwachung, Risikoanalyse und Statusreporting via KI-gestützte PM-Tools (z.B. Microsoft Copilot in Project, Asana AI)",3-5 Jahre,"KI kann administrative PM-Aufgaben wie Zeitplanung, Budget-Tracking und Reporting zunehmend übernehmen, was in der Schweizer Technikbranche mit hohem Digitalisierungsgrad besonders relevant ist. Jedoch bleiben Stakeholder-Management, Verhandlungsführung mit interdisziplinären Teams sowie die Navigation in komplexen regulatorischen Umgebungen (z.B. Bauprojekte unter Schweizer Normen) stark menschenabhängig. Der Beruf wird sich wahrscheinlich hin zu mehr strategischer Führung und Beziehungsmanagement transformieren, anstatt vollständig ersetzt zu werden.",-0.1,0.2,4.9,7.9,e89d3b17a013,100k–150k CHF
"Führungskräfte in der Beschaffung, Logistik und in verwandten Bereichen",1324,21.1,24.2,Gastgewerbe,85000,Tertiär,http://data.europa.eu/esco/occupation/a2ff6cc3-15fa-4f02-a457-8fd5df7aa29e,Führungskraft für intermodale Logistik,Führungskräfte für intermodale Logistik verwalten und beaufsichtigen gewerbliche und betriebliche Aspekte der intermodalen Logistik für ein Unternehmen.,5.2,7.5,5.5,4.0,4.5,3.5,"Automatisierung von Routineentscheidungen in der Supply-Chain-Optimierung, Lieferantenauswahl, Bestandsmanagement sowie automatische Erstellung von Berichten und KPI-Analysen durch KI-gestützte Planungssysteme",3-5 Jahre,"In der Schweiz setzen grosse Logistikkonzerne wie Kühne+Nagel, Panalpina (DSV) oder die SBB Cargo bereits KI-basierte Planungstools ein, die operative Entscheidungen teilweise übernehmen. Führungskräfte in diesem Bereich bleiben jedoch für komplexe Verhandlungen, Krisenmanagement und die Steuerung internationaler Partnernetzwerke unersetzlich. Die hohe Komplexität intermodaler Logistik mit regulatorischen, geopolitischen und infrastrukturellen Variablen (z.B. Schweizer Alpentransit, LSVA) schützt vor vollständiger Automatisierung.",0.0,0.0,5.2,6.7,fbda99ccca63,60k–100k CHF
Polizisten (ohne Polizeikommissare),5412,20.5,22.6,Öff. Verwaltung,88000,Sekundär II,http://data.europa.eu/esco/occupation/5793c124-c037-47b2-85b6-dd4a705968dc,Polizist/Polizistin,"Polizisten wenden Ermittlungsmethoden an, um Straftaten zu verhüten, Straftäter zu verfolgen und festzunehmen und die Öffentlichkeit vor Gewalttaten und kriminellen Aktivitäten zu schätzen. Sie führen Überwachungs- und Patrouillentätigkeiten durch, um Straftaten zu verhindern und Täter festzunehmen. Sie unterstützen die Opfer von Straftaten und die breite Öffentlichkeit und erfüllen auch Verwaltungsaufgaben.",3.2,5.5,3.5,2.0,3.5,2.5,"Verwaltungsaufgaben (Rapportschreiben, Dateneingabe), Videoüberwachungsauswertung mittels KI-gestützter Erkennung sowie Vorhersagepolizeiarbeit (Predictive Policing) bei Streifenplanung könnten teilweise automatisiert werden.",5-10 Jahre,"Der Polizeiberuf in der Schweiz ist stark durch physische Präsenz, situatives Urteilsvermögen und menschliche Interaktion geprägt, was eine vollständige Automatisierung ausschliesst. KI kann zwar administrative Prozesse (z.B. Rapporterstellung via NLP) und Mustererkennungsaufgaben unterstützen, ersetzt aber keine Festnahmen, Konfliktdeeskalation oder Opferbetreuung. Datenschutzrechtliche Rahmenbedingungen in der Schweiz (DSG, kantonale Polizeigesetze) begrenzen zudem den Einsatz von Gesichtserkennung und Predictive Policing erheblich.",0.0,0.0,3.2,5.1,dd325fd853c3,60k–100k CHF
Treuhänder/in,2412,20.0,48.0,Finanzen,105000,Tertiär,http://data.europa.eu/esco/occupation/7284ccbf-e2fd-4e2f-8bbf-bc54eab610d5,Privater Vermögensverwalter/private Vermögensverwalterin,"Private Vermögensverwalter/private Vermögensverwalterinnen überwachen und verwalten Privatvermögen. Sie legen die vermögensbezogenen und testamentarischen Unterlagen entsprechend aus und tauschen sich mit Finanzberatern/-beraterinnen aus, um das Anlageziel im Einklang mit den Vermögenszielen festzulegen, stimmen den Wertpapierkauf und -verkauf mit Kontoführern/-führerinnen ab und prüfen die Kundenkonten regelmäßig.",6.2,8.5,6.5,7.5,5.5,3.5,"Automatisierte Portfolio-Analyse, Dokumentenauswertung (Testamente, Vollmachten), regelbasierte Anlageentscheidungen sowie Kontenüberwachung und Reporting können durch KI-gestützte Wealth-Management-Plattformen (z.B. Robo-Advisory) weitgehend übernommen werden.",3-5 Jahre,"Der Schweizer Finanzplatz steht unter starkem Digitalisierungsdruck; grosse Institute wie UBS und Credit Suisse (resp. Nachfolger) investieren massiv in KI-gestütztes Vermögensmanagement. Repetitive Aufgaben wie Portfolioüberwachung, Reporting und Dokumentenprüfung sind stark automatisierbar, während das Vertrauensverhältnis zum Kunden und die komplexe Auslegung juristischer Dokumente im Schweizer Recht vorerst menschliche Expertise erfordern. Das Berufsbild wird sich stark wandeln – weg von operativen Routinetätigkeiten, hin zu Beratung und Ausnahmeentscheidungen.",0.3,0.2,6.7,7.9,884db103c741,100k–150k CHF
Controller/in,2411,20.0,42.0,Finanzen,110000,Tertiär,http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897,Controller/Controllerin,"Controller/Controllerinnen prüfen und analysieren Jahresabschlüsse, Budgets, Finanzberichte und Geschäftspläne auf fehlerbedingte oder betrügerische Unregelmäßigkeiten und beraten ihre Kunden zu Themen wie Finanzprognose und Risikoanalyse.  Sie können Finanzdaten prüfen, Insolvenzfälle verwalten, Steuererklärungen erstellen und in Bezug auf die geltenden Rechtsvorschriften weitere Steuerberatung anbieten.",6.8,9.0,7.5,8.5,5.5,4.5,"Automatisierte Jahresabschlussanalyse, Anomalieerkennung in Finanzdaten, Budgetprüfung und standardisierte Steuererklärungserstellung durch KI-Systeme wie generative Modelle kombiniert mit ERP-Integrationen",3-5 Jahre,"In der Schweiz treiben Finanzdienstleister und Softwareanbieter wie Abacus oder SAP die Automatisierung von Buchhaltungs- und Controlling-Prozessen bereits aktiv voran. Routineaufgaben wie Datenabgleich, Berichtserstellung und regelbasierte Prüfungen werden zunehmend durch KI übernommen, während die Beratungskomponente – insbesondere im komplexen Schweizer Steuer- und Gesellschaftsrecht – vorerst menschliche Expertise erfordert. Der Beruf wird sich stark wandeln: repetitive Analyseaufgaben fallen weg, strategische Beratung und Kundenkommunikation gewinnen an Gewicht.",0.3,0.2,7.3,8.2,76be1a00f905,100k–150k CHF
Maschinenbauingenieur/in,2144,20.0,12.0,Industrie,120000,Tertiär,http://data.europa.eu/esco/occupation/579254cf-6d69-4889-9000-9c79dc568644,Maschinenbauingenieur/Maschinenbauingenieurin,"Maschinenbauingenieure/Maschinenbauingenieurinnen planen und entwerfen mechanische Produkte und Systeme und überwachen die Herstellung, den Betrieb, die Anwendung, den Einbau und die Reparatur von Systemen und Produkten. Sie recherchieren und analysieren Daten.",5.2,7.0,5.5,4.0,4.0,4.5,"Datenanalyse, Simulation und Optimierung von Konstruktionen (CAD/CAE), automatisierte Fehlerdiagnose sowie standardisierte Berechnungen und Dokumentationen könnten durch generative KI und KI-gestützte Simulationstools übernommen werden.",5-10 Jahre,"In der Schweiz, mit ihrer starken Maschinenbau- und MEM-Industrie (Maschinen-, Elektro- und Metallindustrie), wird KI zunehmend in Konstruktions- und Simulationsprozesse integriert, etwa durch KI-gestützte Topologieoptimierung oder digitale Zwillinge. Die Kerntätigkeiten wie kreatives Systemdesign, interdisziplinäre Projektverantwortung und die Überwachung physischer Fertigungsprozesse bleiben jedoch stark menschenabhängig. Eine vollständige Automatisierung ist unwahrscheinlich, jedoch werden Routineaufgaben wie Berechnungen, Berichte und Datenauswertung signifikant automatisiert werden.",-0.1,0.2,5.300000000000001,7.7,1a679e3700a8,100k–150k CHF
Rechtsanwalt/-anwältin,2611,20.0,35.0,Recht,155000,Tertiär,http://data.europa.eu/esco/occupation/974d4eab-fbee-4c52-b16e-73bdd8c25b53,Rechtsanwalt/Rechtsanwältin,"Rechtsanwälte bieten ihren Mandanten Rechtsberatung und vertreten sie in Gerichtsverfahren im Einklang mit dem Gesetz. Sie vertreten ihre Mandaten in verschiedenen Situationen, beispielsweise vor Gerichten, Gremien oder Behörden, und recherchieren, interpretieren und studieren Rechtssachen. Im Namen ihrer Mandanten entwickeln sie in unterschiedlichen Kontexten Argumentationen für Gerichtsverfahren, um Rechtsmittel geltend zu machen.",5.6,8.5,5.5,4.0,3.5,2.5,"Automatisierung von Recherchearbeiten, Vertragsprüfung, Dokumentenanalyse, Due-Diligence-Prozessen sowie standardisierte Rechtsgutachten und Vertragserstellung (z.B. NDA, AGB)",3-5 Jahre,"Im Schweizer Rechtsmarkt sind bereits Legal-Tech-Lösungen für Dokumentenanalyse und Vertragsmanagement im Einsatz; KI kann insbesondere repetitive Tätigkeiten wie Rechtsdatenbank-Recherche (z.B. in Swisslex/Lexfind), Vertragsprüfung und Case-Law-Analyse stark beschleunigen oder teilweise ersetzen. Die strategische Prozessführung, die Mandatsberatung im Schweizer Mehrsprachigkeitskontext sowie die Vertretung vor Gerichten erfordern jedoch weiterhin tiefes menschliches Urteilsvermögen, Empathie und das Vertrauen der Mandanten. Berufsrechtliche Regulierungen (BGFA) und die Besonderheiten des Schweizer Rechtssystems (kantonales Recht, direkte Demokratie) begrenzen die vollständige Automatisierbarkeit zusätzlich.",0.2,0.4,6.2,8.6,d94b4d7d0f32,> 150k CHF
Logistiker/in EFZ,3331,20.0,25.0,Transport,65000,Sekundär II,,Logistiker/in EFZ,"Logistiker und Logistikerinnen EFZ planen und organisieren die Bewegung von Waren in Lagern, Distributionszentren und Logistikbetrieben. Sie sind verantwortlich für Warenempfang, Lagerung, Kommissionierung und Versand und nutzen dabei moderne Lagerverwaltungssysteme und Fördereinrichtungen. Im Schweizer dualen Berufsbildungssystem erwerben sie ihre Qualifikation durch eine dreijährige Lehre mit praktischer Ausbildung im Betrieb und theoretischem Unterricht in der Berufsfachschule. Das Arbeitsumfeld ist geprägt durch physische Tätigkeiten, Schichtarbeit, Genauigkeit bei der Bestandsverwaltung sowie die Einhaltung von Schweizer Sicherheits- und Qualitätsstandards in einem zunehmend digitalisierten und international vernetzten Logistiksektor.",5.5,6.5,7.5,3.5,7.5,7.0,"Kommissionierung, Bestandsverwaltung und Lageroptimierung durch autonome Robotersysteme (z.B. AMR), KI-gestützte Lagerverwaltungssysteme und automatisierte Fördertechnik; Warenempfang und Versandplanung durch KI-Disposition",3-5 Jahre,"Die Schweizer Logistikbranche investiert bereits stark in Automatisierung – grosse Player wie Post, Coop oder Migros setzen zunehmend auf Lagerroboter und KI-gestützte WMS. Die Wiederholbarkeit und strukturierte Natur vieler Kerntätigkeiten (Kommissionierung, Sortierung, Inventur) macht sie technisch gut automatisierbar, jedoch erfordern die physische Komplexität heterogener Warensortimente sowie Sicherheits- und Qualitätsanforderungen in der Schweiz noch erheblichen menschlichen Eingriff. Mittelfristig ist eine starke Aufgabenverschiebung hin zu System-Überwachung, Ausnahmebehandlung und Wartung automatisierter Anlagen wahrscheinlicher als eine vollständige Verdrängung.",0.0,0.0,5.5,4.8,9d5b6f685c88,60k–100k CHF
Küchenhilfe,9412,20.0,60.0,Gastgewerbe,44000,Keine Ausbildung,http://data.europa.eu/esco/occupation/e1cf6897-158d-4b48-a39e-2a3a8cac216c,Küchenhilfe,Küchenhilfen unterstützen bei der Zubereitung von Speisen und der Reinigung des Küchenbereichs.,3.2,1.0,6.5,2.0,6.0,5.5,"Repetitive Reinigungsaufgaben und standardisierte Vorbereitungsarbeiten (z.B. Gemüse schneiden, Abwaschen) könnten durch Küchen-Roboter und automatisierte Spülmaschinen-Systeme übernommen werden.",>10 Jahre,"Trotz gewisser Wiederholbarkeit einzelner Tätigkeiten ist der Beruf stark physisch geprägt und erfordert Geschick in unstrukturierten Umgebungen, was Robotik technisch sehr anspruchsvoll macht. In der Schweiz sind die hohen Lohnkosten (GAV Gastgewerbe) ein Treiber für Automatisierungsinteresse, jedoch bleibt die Rentabilität von Küchenrobotern für KMU-Betriebe bisher nicht gegeben. Der Beruf hat eine sehr geringe KI-Exposition im engeren Sinne, da kaum digitale Outputs erzeugt werden und die physisch-manuelle Komponente dominiert.",0.0,-0.2,3.0,1.5,1e7d40fa742e,< 60k CHF
Führungskräfte im Bereich Finanzen,1211,19.9,39.0,Verwaltung,120000,Tertiär,http://data.europa.eu/esco/occupation/788a9895-a39a-4a83-be90-e006e2f8dce5,Führungskraft im Bereich Rohrleitungstransport,"Führungskräfte im Bereich Rohrleitungstransport geben die allgemeine Richtung von Rohrleitungstransportvorhaben vor und leiten deren Umsetzung. Sie sehen die Planung, die Streckenwahl, die Ressourcenverwaltung und die täglichen Abläufe vor. Sie entwickeln eine langfristige Vorstellung, die die Effizienz der Anlage gewährleistet.",4.2,6.5,3.5,4.0,3.5,3.0,"Automatisierung von Datenanalysen, Reporting, Budgetplanung und operativem Monitoring durch KI-gestützte Managementsysteme; Optimierungsalgorithmen für Ressourcenplanung und Streckenwahl",5-10 Jahre,"Führungskräfte im Bereich Rohrleitungstransport (bzw. Finanzen) kombinieren strategisches Denken, Stakeholder-Management und operative Verantwortung, was eine vollständige Automatisierung unwahrscheinlich macht. In der Schweiz unterliegen solche Positionen strengen regulatorischen Anforderungen (FINMA, branchenspezifische Aufsicht), die menschliche Verantwortlichkeit und Accountability voraussetzen. KI kann als Entscheidungsunterstützung dienen, etwa bei Risikoanalysen oder Effizienzoptimierung, ersetzt jedoch nicht die strategische und interpersonelle Führungsverantwortung.",0.1,0.2,4.5,7.7,be7b8aa4a353,100k–150k CHF
"Sportlehrer, Sporttrainer und Sportfunktionäre",3422,18.5,50.0,Soziales,72000,Sekundär II,http://data.europa.eu/esco/occupation/3e9c1262-4fe2-4eb1-bf94-4fe64498393a,Sportlehrer/Sportlehrerin,"Sportlehrer bieten in der Sportart, auf die sie spezialisiert sind, Unterricht für Teilnehmer aus bestimmten oder allen Altersgruppen in deren Freizeit an. Sie stellen fest, über welche Fähigkeiten die Teilnehmer bereits verfügen, und steigern die körperliche und geistige Fitness der von ihnen unterrichteten Gruppen oder Einzelpersonen durch geeignete Trainingsprogramme. Sie schaffen das optimale Umfeld für die Weiterentwicklung der Teilnehmer, versetzen sie in die Lage, ihre Leistung zu maximieren, und wecken zugleich ihren Sportsgeist. Außerdem verfolgen Sportlehrer die Fortschritte der Teilnehmer und geben bei Bedarf eine individuelle Anleitung. Sie überwachen Sporteinrichtungen und Umkleideräume und halten Mannschaftskleidung und Sportgeräte instand.",2.8,3.5,4.0,2.0,3.5,2.0,Fortschrittsanalyse und Trainingsplanung könnten durch KI-gestützte Tracking-Apps und Wearables teilautomatisiert werden; administrative Aufgaben wie Planung und Berichterstattung sind digitalisierbar,>10 Jahre,"Der Beruf ist stark durch körperliche Präsenz, empathische Begleitung und spontane Anpassung an Teilnehmerbedürfnisse geprägt, was eine weitgehende KI-Substitution nahezu ausschliesst. In der Schweiz mit ihrem hohen Stellenwert von Vereinssport und Jugendförderung (z.B. Jugend+Sport) bleibt die menschliche Vorbildfunktion und Motivationsarbeit zentral. KI kann allenfalls als Hilfsmittel bei Datenauswertung oder Trainingsplanung dienen, ersetzt jedoch nicht die Kernkompetenz des sozialen und pädagogischen Coachings.",0.0,0.0,2.8,4.3,c8bccd131707,60k–100k CHF
